harry_run1 <=
'{
'{0,0,0,0,0,0,19,19,19,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,24,24,24,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,28,28,28,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,28,28,44,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,40,36,36,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,36,36,36,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,36,36,36,0,0,0,0,0,0,0},
'{0,0,0,0,36,36,36,36,36,0,0,0,0,0,0,0},
'{0,0,0,36,36,36,36,36,36,0,0,0,0,0,0,0},
'{0,0,0,36,36,36,36,36,36,0,0,0,52,36,0,0},
'{0,0,0,36,36,36,36,36,36,36,36,36,36,36,0,0},
'{0,0,0,36,36,36,36,36,36,36,36,36,0,0,0,0},
'{0,0,0,36,36,36,36,36,36,36,36,0,0,0,0,0},
'{0,0,0,0,0,0,36,36,36,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,36,36,36,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,19,19,19,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,19,19,19,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,19,19,19,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,19,19,19,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,19,19,19,19,0,0,0,0,0,0},
'{0,0,0,0,0,0,19,19,19,19,19,0,0,0,0,0},
'{0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0},
'{0,0,0,0,0,19,19,0,0,0,19,0,0,0,0,0},
'{0,19,19,19,19,19,19,0,0,0,19,0,0,0,0,0},
'{0,19,19,0,0,0,0,0,0,0,19,0,0,0,0,0},
'{0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0},
'{0,19,19,0,0,0,0,0,0,0,0,0,19,19,19,19},
'{0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
};
